Artist,Price,City,Venue,Date,Time
MATTHEWS SOUTHERN COMFORT,£16.50,OXFORD,St John the Evangelist Church,"Sun 3rd Dec, 2017, ", 6:40pm
"NAILED IT! SON OF WILLIAM, NEOTA, JAMES HOLT",£6.60,BATH,Chapel Arts Centre,"Sun 3rd Dec, 2017, ", 7:30pm
NICK HARPER AND THE WILDERNESS KIDS,£16.50,SOUTHPORT,Park Golf Club,"Sun 3rd Dec, 2017, ", 7:30pm
"PAUL RODGERS, FREE AND BAD COMPANY TRIBUTE SHOW",£16.50,CROYDON,Theatre Utopia,"Sun 3rd Dec, 2017, ", 7:30pm
"PLANKTRONIC FINALES - STEPHAN CRUMP, INGRID LAUBROCK, CORY SMYTHE",£11.00,CROYDON,Theatre Utopia,"Sun 3rd Dec, 2017, ", 5:30pm
"RED FANG / 03.12.17 / CRAUFURD ARMS, MILTON KEYNES",£9.00,YORK,"The Basement, City Screen Picturehouse","Sun 3rd Dec, 2017, ", 5:30pm
"ROOTS IN THE ROUND WITH ROBERT VINCENT, DEAN OWENS AND WORRY DOLLS",£7.00,YORK,"The Basement, City Screen Picturehouse","Sun 3rd Dec, 2017, ", 6:30pm
SATURDAY SCHOOL CHRISTMAS CABARET,£3.30,OXFORD,The Bullingdon,"Sun 3rd Dec, 2017, ", 1:30pm
SATURDAY SCHOOL CHRISTMAS CABARET,£15.40,OXFORD,The Bullingdon,"Sun 3rd Dec, 2017, ", 6:40pm
SOUTHEND COMEDY FESTIVAL LAUNCH PARTY - THE ONLY WAY IS STAND-UP,£3.30,WOOTTON COURTENAY,Village Hall - Take Art,"Sun 3rd Dec, 2017, ", 6:40pm
"STEVE FISHWICK, OSIAN ROBERTS & ALAN BARNES SEXTET",£9.90,LONDON,Bethnal Green Working Mens Club,"Sun 3rd Dec, 2017, ", 6:40pm
STOCKPORT VEGAN FAIR,£7.70,LONDON,Bethnal Green Working Mens Club,"Sun 3rd Dec, 2017, ", 7:30pm
SUE RICHARDSON'S SCREEN SIRENS AT SPLASH POINT JAZZ CLUB,£5.50,SOUTHPORT,Park Golf Club,"Sun 3rd Dec, 2017, ", 7:30pm
SUNDAY COMEDY VARIETY CABARET,£11.00,CROYDON,Theatre Utopia,"Sun 3rd Dec, 2017, ", 7:30pm
SUNDAY COMEDY VARIETY CABARET,£18.70,CROYDON,Theatre Utopia,"Sun 3rd Dec, 2017, ", 5:30pm
SWEET BABOO + GUESTS,£7.70,YORK,"The Basement, City Screen Picturehouse","Sun 3rd Dec, 2017, ", 5:30pm
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,£16.50,YORK,"The Basement, City Screen Picturehouse","Sun 3rd Dec, 2017, ", 6:30pm
SZÉCHENYI SPA FULL DAY ENTRANCE TICKET,£11.00,OXFORD,The Bullingdon,"Sun 3rd Dec, 2017, ", 1:30pm
TANGO AT JAMBOREE: CONCERT-ONLY TICKET,£6.60,OXFORD,The Bullingdon,"Sun 3rd Dec, 2017, ", 6:40pm
TANGO AT JAMBOREE: DANCE CLASS + CONCERT TICKET,£11.00,WOOTTON COURTENAY,Village Hall - Take Art,"Sun 3rd Dec, 2017, ", 6:40pm
TANGO AT JAMBOREE: DANCE CLASS ONLY,£6.60,LONDON,Bethnal Green Working Mens Club,"Sun 3rd Dec, 2017, ", 6:40pm
TERMINAL GODS,£7.70,LONDON,Bethnal Green Working Mens Club,"Sun 3rd Dec, 2017, ", 7:30pm
TERRY & GERRY,£8.25,SOUTHAMPTON,Park Golf Club,"Sun 3rd Dec, 2017, ", 7:00pm
THE CHRISTMAS RACE PANTO,£5.50,SOUTHAMPTON,Theatre Utopia,"Sun 3rd Dec, 2017, ", 3:00pm
THE DEATH OF STALIN (15),£13.75,BUXTON,Theatre Utopia,"Sun 3rd Dec, 2017, ", 3:00pm
THE GOAT ROPER RODEO BAND,£15.40,BUXTON,"The Basement, City Screen Picturehouse","Sun 3rd Dec, 2017, ", 7:45pm
THE HEATONS COMEDY EVENING,£22.00,SANDHURST,"The Basement, City Screen Picturehouse","Sun 3rd Dec, 2017, ", 7:45pm
THE HISTORICAL PUB TOUR,£14.30,COVENTRY,The Bullingdon,"Sun 3rd Dec, 2017, ", 6:45pm
THE JUST BY CAMUS,£5.50,OXFORD,The Bullingdon,"Sun 3rd Dec, 2017, ", 6:45pm
THE LONDON KLEZMER QUARTET,£11.00,OXFORD,Village Hall - Take Art,"Sun 3rd Dec, 2017, ", 7:30pm
THE MODCAST XMAS BOAT PARTY,£8.80,OXFORD,Bethnal Green Working Mens Club,"Sun 3rd Dec, 2017, ", 7:00pm
THE MUPPET'S CHRISTMAS CAROL,£15.40,BATH,Bethnal Green Working Mens Club,"Sun 3rd Dec, 2017, ", 7:00pm
THE RIVER FLEET (FROM BLACKFRIARS TO ST PANCRAS) GUIDED WALKING TOUR WITH AUTHOR PAUL TALLING,£11.00,SOUTHAMPTON,,"Sun 3rd Dec, 2017, ", 7:00pm
THE SEARCHERS TRIBUTE SHOW BY SEARCHIN,£4.40,SOUTHAMPTON,,"Sun 3rd Dec, 2017, ", 3:00pm
THE SURGERY EXETER XMAS PARTY,£5.50,BUXTON,,"Sun 3rd Dec, 2017, ", 3:00pm
THE SURGERY EXETER XMAS PARTY,£13.20,BUXTON,,"Sun 3rd Dec, 2017, ", 7:45pm
THE WAY DOWN WANDERERS,£9.90,SANDHURST,,"Sun 3rd Dec, 2017, ", 7:45pm
TOMATO TOMATO IN CONCERT,,COVENTRY,,"Sun 3rd Dec, 2017, ", 6:45pm
WALK OF FAME (PINK FLOYD),,OXFORD,,"Sun 3rd Dec, 2017, ", 6:45pm
WEST LONDON CCE 60TH ANNIVERSARY CELEBRATIONS,,OXFORD,,"Sun 3rd Dec, 2017, ", 7:30pm
WILLIAM WALTON'S THE BEAR,,OXFORD,,"Sun 3rd Dec, 2017, ", 7:00pm
WINTER TAILS III: REVENGE OF THE STORYTELLER,,BATH,,"Sun 3rd Dec, 2017, ", 7:00pm
